,id,first_name,phone,is_bot
0,344253209,Rafael_,5561998167173,False
1,733240128,Spark321,,False
2,2017488745,Kelvin,,False
3,1926801217,Unsupported User,,True
4,1926801217,Unsupported User,,True
5,1926801217,Unsupported User,,True
6,1926801217,Unsupported User,,True
7,1926801217,Unsupported User,,True
8,1926801217,Unsupported User,,True
9,1587352779,Laila,,False
10,1926801217,Unsupported User,,True
11,1926801217,Unsupported User,,True
12,1612327066,Group Helps,,False
13,2096651714,Jana,,False
14,1926801217,Unsupported User,,True
15,1663050486,jenny,,False
16,1926801217,Unsupported User,,True
17,1926801217,Unsupported User,,True
18,1926801217,Unsupported User,,True
19,1753537589,cap,,False
20,1926801217,Unsupported User,,True
21,1926801217,Unsupported User,,True
22,1941023447,sumon | Move2EarnAPY Ambassador,,False
23,1926801217,Unsupported User,,True
24,1926801217,Unsupported User,,True
25,1926801217,Unsupported User,,True
26,2035467531,sunsan,,False
27,1926801217,Unsupported User,,True
28,1926801217,Unsupported User,,True
29,1926801217,Unsupported User,,True
30,2141506612,fafa,,False
31,1926801217,Unsupported User,,True
32,1801052065,Toby,,False
33,524601006,M,,False
34,1926801217,Unsupported User,,True
35,1926801217,Unsupported User,,True
36,1926801217,Unsupported User,,True
37,891123198,rudy,,False
38,920780722,DeFi Warrior,,False
39,1926801217,Unsupported User,,True
40,719604636,Shahid,,False
41,823205102,Touseef Ahmad | UNICORNIA Supporter,,False
42,1716502288,Samil | Runnect Finance,,False
43,1926801217,Unsupported User,,True
44,1926801217,Unsupported User,,True
45,1926801217,Unsupported User,,True
46,881209469,Joyce,,False
47,1926801217,Unsupported User,,True
48,1926801217,Unsupported User,,True
49,1874292252,Prince,,False
50,1926801217,Unsupported User,,True
51,1926801217,Unsupported User,,True
52,1926801217,Unsupported User,,True
53,620322544,RemoveETHAddressBot,,True
54,1935984905,Mey5,,False
55,1926801217,Unsupported User,,True
56,1926801217,Unsupported User,,True
57,1926801217,Unsupported User,,True
58,1926801217,Unsupported User,,True
59,1926801217,Unsupported User,,True
60,1971322849,honhon,,False
61,1926801217,Unsupported User,,True
62,1926801217,Unsupported User,,True
63,1926801217,Unsupported User,,True
64,1926801217,Unsupported User,,True
65,1926801217,Unsupported User,,True
66,1926801217,Unsupported User,,True
67,1926801217,Unsupported User,,True
68,2024705915,theskeleton,,False
69,1926801217,Unsupported User,,True
70,1974044982,👺,,False
71,1872864988,Soniya,,False
72,1926801217,Unsupported User,,True
73,1926801217,Unsupported User,,True
74,1926801217,Unsupported User,,True
75,1926801217,Unsupported User,,True
76,1926801217,Unsupported User,,True
77,2085125473,RIWEL 🌿,,False
78,1677765880,matin,,False
79,1926801217,Unsupported User,,True
80,1893091590,재원,,False
81,1926801217,Unsupported User,,True
82,1926801217,Unsupported User,,True
83,1926801217,Unsupported User,,True
84,1926801217,Unsupported User,,True
85,1926801217,Unsupported User,,True
86,350201517,Harry,,False
87,1926801217,Unsupported User,,True
88,1926801217,Unsupported User,,True
89,1926801217,Unsupported User,,True
90,1926801217,Unsupported User,,True
91,1926801217,Unsupported User,,True
92,1926801217,Unsupported User,,True
93,1926801217,Unsupported User,,True
94,1945450084,Caca,,False
95,2018486449,Fita,,False
96,1979979712,Sylvia,,False
97,1977635687,Sinta,,False
98,2022931141,Denis,,False
99,1926801217,Unsupported User,,True
100,1729684892,Mark,,False
101,1926801217,Unsupported User,,True
102,1775840399,Njovi,,False
103,1926801217,Unsupported User,,True
104,630646754,xknight,,False
105,1926801217,Unsupported User,,True
106,2051723056,Babu,,False
107,1926801217,Unsupported User,,True
108,1926801217,Unsupported User,,True
109,1926801217,Unsupported User,,True
110,2117613080,Benjamin,,False
111,1926801217,Unsupported User,,True
112,1926801217,Unsupported User,,True
